"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "CSS", "TypeScript JSX", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 21, 47
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 18418, 0, 0, 1, 18419
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 1, 62
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 42, 11, 99
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\Activate\Activate.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 7, 52
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\ChangePassword\ChangePassword.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 0, 1, 15, 121
"c:\Users\artur\OneDrive\Dokumenty\familltTree\frontend\src\components\Edit\Edit.tsx", "TypeScript JSX", 0, 0, 0, 0, 456, 0, 0, 0, 0, 10, 39, 505
