"filename", "language", "TypeScript JSX", "JSON with Comments", "JavaScript", "TypeScript", "CSS", "JSON", "HTML", "Markdown", "XML", "Properties", "comment", "blank", "total"
"c:\Users\artur\OneDrive\Dokumenty\familltTree\backend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -4
"c:\Users\artur\OneDrive\Dokumenty\familltTree\backend\app.ts", "TypeScript", 0, 0, 0, -31, 0, 0, 0, 0, 0, 0, -3, -13, -47
"c:\Users\artur\OneDrive\Dokumenty\familltTree\backend\package-lock.json", "JSON", 0, 0, 0, 0, 0, -1676, 0, 0, 0, 0, 0, -1, -1677
"c:\Users\artur\OneDrive\Dokumenty\familltTree\backend\package.json", "JSON", 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, -1, -36
"c:\Users\artur\OneDrive\Dokumenty\familltTree\backend\src\Middleware\authenticateToken.ts", "TypeScript", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, -8, -27
"c:\Users\artur\OneDrive\Dokumenty\familltTree\backend\src\config\database.ts", "TypeScript", 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, -3, -16
"c:\Users\artur\OneDrive\Dokumenty\familltTree\backend\src\controllers\authController.ts", "TypeScript", 0, 0, 0, -132, 0, 0, 0, 0, 0, 0, -13, -40, -185
"c:\Users\artur\OneDrive\Dokumenty\familltTree\backend\src\controllers\personController.ts", "TypeScript", 0, 0, 0, -904, 0, 0, 0, 0, 0, 0, -97, -198, -1199
"c:\Users\artur\OneDrive\Dokumenty\familltTree\backend\src\email\sendEmail.ts", "TypeScript", 0, 0, 0, -33, 0, 0, 0, 0, 0, 0, -1, -5, -39
"c:\Users\artur\OneDrive\Dokumenty\familltTree\backend\src\email\templates\activationEmail.ts", "TypeScript", 0, 0, 0, -107, 0, 0, 0, 0, 0, 0, 0, -3, -110
"c:\Users\artur\OneDrive\Dokumenty\familltTree\backend\src\email\templates\resetPasswordEmail.ts", "TypeScript", 0, 0, 0, -94, 0, 0, 0, 0, 0, 0, -5, -12, -111
